

没有户口就不能办理重大疾病转诊单吗		询问_业务_材料
国寿康宁终身比其他保险公司的重大疾病保险好在哪里		询问_产品_优势
在厂里烧伤意外保险赔偿金归谁享受		询问_受益人
2015年职工养老保险参保人员因病死亡赔待遇有关问题的通知		询问_保险事故通知
2015年2月社保未交,1月份住院2月3曰出院可以报销吗		询问_产品_费用与报销
我妈给我爸买了份重疾保险，是代理人签的字，去找保险公司，保险公司说可以退，但只能退现金价值，怎么办		询问_退保
孩子一岁半，想给他买份保险，保障金额50万，要交多少年，一年交多少钱？几年后可以领取？		介绍_产品_推荐
有低保合作医疗养老保险残疾证住院怎么报		理赔_申请
买大病医疗保险要多少钱		询问_保费_定价
国寿鸿盈两全保险交三万多元保三年死亡怎么退钱
受雾霾的影响，想提前买份健康保险，可对保险不太了解，不知健康保险怎么买		询问_投保_指引
平安鑫利分红怎么领取		限制_红利申请
住院后，怎么办报销的那个		询问_产品_费用与报销
对于新生儿来说 平安的世纪天骄和新华的金彩一生 哪种保险好		询问_合同_成立
老婆生孩子，男的买生育险可以报销吗		询问_产品_费用与报销
新华保险健康福星2014交满20年一次性能拿多少钱		询问_保费_核算
刚补齐社保六个月,什么时候能报销住院费用		询问_产品_费用与报销
购买新华健康保险才交了一年二千三，现在打算退保不要了，大概能退回多少钱啊？		询问_合同_解除
新华保险吉星高照a款2014年多少分红		询问_产品_最高保额
小孩在赣州市人民医院看病后已一年，用费1.9万多元,申请大病补偿没有结果，资料已上交，该怎样申请？		询问_补偿原则
想为孩子在招商信诺人寿办理一份少儿险，有哪些条件呢？		询问_特别约定
重大疾病保险哪家好		other
学校为学生参保每人5元大地保险意外死亡如何赔偿		理赔_情景_全残或身故
车出事故几天必须去保险公司填写样本		询问_投保书_填写
关于生育指标，生育保险和孩子户口的问题，请懂的朋友帮忙解答！		other
平安智盈人生终身寿险+万能型什么时候受益		other
如果买保险只买医疗，意外和养老一年需多少钱中国平安保险		询问_保费_核算
想问下淘宝招财宝保险理财，如180天万能险收益是6%，电子保险单上的保期是至75岁，这个怎么理解？谢谢		理赔_申请_资料
宝贝出生前生育保未够请问要什么时候可以报销		询问_产品_费用与报销
如何完善我国的健康保险理赔工作		理赔_申请
绝大多数健康保险尤其是医疗费用保险均，主要原因是什么		询问_保费_核算
国内少儿保险哪家好？		询问_公司_产品
买了社保，非因工死亡，丧葬费和抚恤金有多少钱？		询问_保险责任
招商信诺旅游险有哪些特点？		询问_特别约定
学校摔的想去疤,意外险可以用吗		介绍_定义_释义项
招商信诺儿童险如何投保？		询问_投保_指引
养老保险因为工伤停了一个月 小孩能上小学吗		介绍_定义_释义项
农村医保2月内多次住院医保怎么报销?		询问_产品_费用与报销
孩子意外韧带挫伤，意外险能陪吗		限制_地域_理赔
小孩看病医保卡钱怎么扣		询问_保费_缴纳_渠道
2015平安金裕人生万能账户利率多少		询问_保费_核算
想给孩子交医疗保险，不知道哪种医疗保险好		询问_合作单位_合作医院
没有住院团体意外险在理赔时都能查到吗		理赔_速度
孩子爸爸是开车的，买一份什么样的保险好		询问_产品_推荐
没有公司的居民买社保,中途意外身故.保险怎么退回.		询问_合同_解除
轿车第二次强制险二联是交个交通部门怎么交		询问_保费_缴纳
房屋保险，买了两家保险公司，一旦有意外，两家保险公司都会赔偿吗		询问_产品_推荐
在陕西省医保管理中心报销异地住院费几天可到帐		询问_产品_费用与报销
小婴儿生病本地看不了转诊到外地,医保能报销多少?		询问_产品_费用与报销
父亲刚退休一个月突然死亡，请问独生子女一次性奖励怎么领。		询问_产品_推荐
买了人生保险，出意外可以得到两份赔付么？		理赔_比例
人保寿险精心优选定期寿险可以附加意外险吗		询问_附加险
交通信用卡绑定交银康联人寿保险可以注销吗?如果信用卡注销以后是不是保险合同也就终止了？		询问_保费_缴纳_渠道
哪些病属大病医保范围？		保障_范围_疾病
新华保险的祥和万家特享和祥和万家非特享保险分红哪个高		询问_保险金额_推荐金额
有关平安智慧星终身寿险1岁半宝宝年交4000计划书		询问_保费_核算
飞机航空意外险需要订来回的两分吗		other
2015年1月1日起大病医保不用个人交了吗		other
康宁重大疾病保险,如果意外身故怎样补尝?		询问_产品_推荐
观察期发现癌症,等到观察期过后住院,保险能赔付吗		保障_范围_情景
国寿福满一生两全分红保险怎么分红		询问_产品_优势
人保的重大疾病保险怎么样		承保_投保_疾病
买了大病医疗保险以后,可以报销比例是多少？		询问_产品_费用与报销
招聘挖掘机司机时让出具一份保额80万以上的意外险是真的吗		询问_增值服务_内容
我小孩看病可以用我的社保卡吗？		询问_保费_核算
以前保险单上是小孩的名字想改为父母的可以吗		介绍_公司_名称
泰和县碧溪镇的户口在人民医院住院农保可以报多少		介绍_定义_释义项
我给儿子,女儿去年在中国人寿买了两份康宁终身重大疾病险不知道这个险种好吗		询问_产品_推荐
我今年9月份预产期，算起来我从去年11月份才交5险才交了11个月，生孩子的时候能享用生育险报销么		询问_保费_核算
我孩子3岁，想给他买份保险，请问有没有适合我孩子的保险		询问_投保人_被保险人
国寿福星少儿两圈保险年交3000.30年分红大概多少		询问_保费_核算
2014年6月3日住院看病的单子什么时候农村合作医疗报销		询问_产品_费用与报销
出外打工,在厂里买了社保但户口所在地未参加合作医疗的,可以申请大病救助吗		限制_购买_产品
中国人寿适合二十四岁的养老保险？家庭主妇，带有理财分红的。		询问_投保_年龄_限制
新农合报销新生儿看病的钱和生育险报销生小孩的钱一回事吗?		询问_产品_费用与报销
如果人残疾了没有生活能力了社保交不起怎么办		保障_范围_情景
14年11月份开始买的五险,15年9月份生小孩,可以享受生育津贴吗		询问_增值服务_项目
我上个月辞职了,之前单位交了五险,现在住院可以报销吗?		询问_产品_费用与报销
孩子他爷给孙女办的保险投保人是孩子的爸帐号户名是他爷行吗		询问_投保人_被保险人
社保买的第一档,小孩能用吗?		限制_购买_产品
老公25岁,没有社保，有意外两全险,月工资5000,孩子3岁，我25岁，目前无业，下半年孩子上学		询问_保费_核算
新生儿现在能买新农村医疗吗		询问_保险事故通知
什么情况需要买大病保险？		承保_投保_情景
想买分保险，注重健康和意外 对分红没要求 对缴费金尽量两人控制在1W以下 请推荐个		询问_保费_缴纳
人保寿险附加康乐康健提前给付重大疾病保险怎么样		询问_保险金_给付
超高收益保险类理财产品 是馅饼还是陷阱		other
保险业蓝皮书各公司的分红利率多少		介绍_定义_释义项
知道航空意外保险哪种最好的朋友过来说一说呗！		询问_保险期间
发生人伤事故,对方为非机动车,结果是对方全责,请问交强险能报销吗?		介绍_产品
信诺少儿险哪款更适合3岁儿童？		变更_合同
想把孩子的压岁钱用来买理财保险，可不知道儿童理财保险怎么买		询问_投保_指引
受环境的影响，患重大疾病的人越来越多，想给自己提前买份重大疾病保险，不知买哪种重大疾病保险好		询问_投保_指引
招商信诺大病险怎么样？		介绍_公司
挪用公款的损失能否从个人公积金和养老金中扣除？		询问_合同_解除
搜搜出事故,责任方没钱,是由保险公司垫付吗		询问_保费_缴纳_垫缴
信诺重疾险可提供癌症理赔吗？		保障_范围_疾病
太平人寿保险有限公司险种生存是什么险		询问_保险种类
人寿保险金鼎富贵两全分红型,五年期未满,投保人病故,本金能反回吗		询问_保险责任
有**病,34年工龄因企业改制现已买断工龄,今年52岁,能办理病退吗?		介绍_公司
我女儿二岁多我给她买了一份人寿保险公司的一种教育险但我没有亲笔签字能退保吗？是否可全退		询问_增值服务_项目
怎样购买重大疾病医疗保险		询问_投保_指引
危重病人一次住院就超过医保最高费用限额怎么办		询问_产品_最高保额
华夏一号年金养老保险是什么样的险种		询问_联系方式
请问现在市场上的理财保险金应该怎么算		理赔_申请
我买的金彩明天两全保险b款年交一万,五年期，五年后期满全部取出应得多少？		询问_保费_缴纳
给两个月的女孩儿买什么保险或者理财产品呢？		限制_投保_特殊人群
国寿鑫如意年金保险 白金版 每年交两万 交五年 退保费问题？		询问_保单_缴纳_期缴
给孩子买哪种少儿保险好		询问_投保_年龄_限制
养老保险现在不办理,小孩初中升学怎么办		介绍_产品_升级
自驾旅游买什么意外险比较好？有朋友推荐“保保集”品牌，从网上搜了一下，觉得还不错，有用过的朋友吗？		询问_产品_推荐
生完孩子新农合报销了 还有什么二次报销是真的吗?		询问_产品_费用与报销
在邮政储蓄存2年死期还送了保险到期后钱能取出来吗		询问_时间
湖南省省医保退休人员住院二次医保 互助保障有什么文件		询问_保险责任
车如果意外砸伤可否理赔		理赔_申请
2015 年新农合三个月的孩子有户口没买新农合可以报销吗?		询问_产品_费用与报销
交通意外险怎么购买呢？		询问_投保_指引
分红型保险到期后可以取出本金吗		other
大病改险什么意思		介绍_定义_保险种类
河北省2015年企业工伤退休人员护理费上调情况		询问_合同_解除
新车刚开第二天出事故，对方全责，对方保险公司打9折赔付，我不能接受，请问保险公司应该怎样赔偿？		询问_疾病种类_赔付流程
招商信诺人寿保险的康健无忧第二代重大疾病保险计划，所保障的内容有哪些？		询问_保险责任
2015年的儿童保险有哪些		询问_投保_年龄_限制
韩国旅游要求提供的社保用户名怎么弄?		限制_购买_产品
生命福星高照终身寿险分红型保险怎么退		询问_合同_解除
新华保险健康福星2014新款66岁转换养老险金的部分不再承担保险责任是怎么回事		other
平安万能新增意外险的保障年限怎么填		询问_保险期间
儿童误喝农药住院费泰康意外险怎么报不了多少		询问_产品_费用与报销
老人交了合作医疗想去体检，住一天院报销吗？		询问_产品_费用与报销
异地意外伤害报销		询问_产品_费用与报销
如何解决60岁以后的医疗住院问题		理赔_医院
新政策残疾人多少岁退休		询问_投保_年龄_限制
在市人民医院住院，交农保的医疗费在二万以下报销多少，在二万以上能报销多少		询问_合作单位_合作医院
交通事故理赔程序是什么，如何让快速理赔		理赔_申请
求推荐一款价格不是很贵的儿童医疗保险		询问_产品_推荐
2014年新农合大病报销范围救助合规费用包含什么范围		询问_产品_费用与报销
想帮宝宝买份保险，有谁知道平安智慧星终生寿险怎么样		限制_投保_特殊人群
政府合同工结婚生孩子社保怎么办?		询问_商业保险与医保的关系
问一下泰康人寿分红险可以保其它疾病什么的吗		保障_范围_保障项目
我没有工作,年收入七万左右,想买份商业险,收益和保障都注重		询问_保险责任
少儿未来幸福保险，1992年投的保，名字给填错了，怎么办？		询问_信息误告
新农合大病报销怎么报销的		询问_产品_费用与报销
孩子拉小提琴,手怎么保险		询问_投保_年龄_限制
